epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,328.209,1.25905,1.15432,1.41866,0.59381,0.66951,0.69788,0.34951,1.59657,1.37196,1.75794,0.0005941,0.0005941,0.0005941
43,336.364,1.2678,1.18148,1.43244,0.5607,0.69756,0.68635,0.34682,1.6309,1.30872,1.8731,0.0005842,0.0005842,0.0005842
44,344.328,1.24111,1.11857,1.41267,0.5983,0.67132,0.68202,0.3413,1.59433,1.33278,1.77505,0.0005743,0.0005743,0.0005743
45,352.437,1.23665,1.10409,1.40297,0.62503,0.67136,0.71435,0.37548,1.56981,1.25806,1.79497,0.0005644,0.0005644,0.0005644
46,360.329,1.23771,1.12522,1.41916,0.63218,0.69783,0.71509,0.37035,1.58548,1.26949,1.7886,0.0005545,0.0005545,0.0005545
47,368.097,1.24543,1.10011,1.41095,0.62193,0.65191,0.70939,0.36367,1.61513,1.2908,1.81542,0.0005446,0.0005446,0.0005446
48,375.828,1.23207,1.10774,1.39709,0.68277,0.63325,0.73012,0.36847,1.57051,1.32317,1.76018,0.0005347,0.0005347,0.0005347
49,383.493,1.20313,1.07835,1.38357,0.58994,0.6696,0.68336,0.36082,1.59989,1.33105,1.80123,0.0005248,0.0005248,0.0005248
50,391.124,1.23804,1.09936,1.40462,0.56873,0.65028,0.65903,0.32516,1.71139,1.33155,1.8613,0.0005149,0.0005149,0.0005149
51,398.636,1.21274,1.06896,1.38945,0.67458,0.6716,0.72988,0.37697,1.5896,1.25948,1.79854,0.000505,0.000505,0.000505
52,406.207,1.22673,1.09863,1.40232,0.57514,0.68725,0.68907,0.34872,1.61316,1.30185,1.81937,0.0004951,0.0004951,0.0004951
53,413.72,1.22741,1.08331,1.39181,0.63111,0.64695,0.69541,0.36735,1.57319,1.30601,1.77753,0.0004852,0.0004852,0.0004852
54,421.251,1.19055,1.03897,1.37193,0.62597,0.68458,0.71448,0.36793,1.59501,1.28619,1.77049,0.0004753,0.0004753,0.0004753
55,428.793,1.18746,1.02756,1.36806,0.65543,0.65159,0.71361,0.36529,1.60675,1.29414,1.80385,0.0004654,0.0004654,0.0004654
56,436.317,1.19098,1.03051,1.37048,0.62708,0.6612,0.71314,0.35899,1.6351,1.29667,1.83018,0.0004555,0.0004555,0.0004555
57,443.848,1.19222,1.02374,1.36727,0.64717,0.6759,0.71926,0.36899,1.58639,1.26995,1.7868,0.0004456,0.0004456,0.0004456
58,451.602,1.18219,1.0062,1.36563,0.63691,0.66168,0.71374,0.37359,1.5689,1.24339,1.76978,0.0004357,0.0004357,0.0004357
59,459.289,1.16783,1.03464,1.36002,0.6335,0.65018,0.69113,0.36133,1.63584,1.3217,1.82867,0.0004258,0.0004258,0.0004258
60,467.028,1.17983,1.00446,1.36567,0.61327,0.70501,0.70354,0.36482,1.58704,1.2792,1.76489,0.0004159,0.0004159,0.0004159
61,474.747,1.16125,1.00712,1.36225,0.57912,0.70027,0.70639,0.36301,1.60629,1.30568,1.84246,0.000406,0.000406,0.000406
62,482.422,1.16393,0.99885,1.35905,0.66185,0.69044,0.72067,0.38359,1.57796,1.25786,1.77834,0.0003961,0.0003961,0.0003961
63,490.199,1.15473,0.98467,1.34562,0.654,0.67399,0.71832,0.37709,1.56806,1.26224,1.77154,0.0003862,0.0003862,0.0003862
64,497.931,1.13909,0.9833,1.34017,0.6491,0.67948,0.70569,0.36825,1.59022,1.29689,1.79309,0.0003763,0.0003763,0.0003763
65,505.472,1.16618,0.99891,1.34919,0.66692,0.66217,0.69484,0.36387,1.5809,1.29075,1.77127,0.0003664,0.0003664,0.0003664
66,512.988,1.13561,0.96109,1.32619,0.61986,0.6891,0.70343,0.37481,1.58204,1.25175,1.78016,0.0003565,0.0003565,0.0003565
67,520.496,1.1463,0.95795,1.34555,0.59323,0.69472,0.69691,0.36425,1.60774,1.26539,1.80408,0.0003466,0.0003466,0.0003466
68,528.027,1.11772,0.94108,1.32577,0.66831,0.68297,0.71679,0.37482,1.61318,1.22251,1.80632,0.0003367,0.0003367,0.0003367
69,535.53,1.12547,0.94374,1.32202,0.6853,0.63637,0.71846,0.38451,1.55244,1.26217,1.75235,0.0003268,0.0003268,0.0003268
70,543.071,1.11622,0.93027,1.3307,0.64667,0.6927,0.72123,0.37834,1.6192,1.25578,1.82233,0.0003169,0.0003169,0.0003169
71,550.572,1.11307,0.94317,1.32345,0.65575,0.64607,0.71351,0.38126,1.57219,1.24216,1.77467,0.000307,0.000307,0.000307
72,558.379,1.11086,0.92655,1.32064,0.66243,0.66386,0.7105,0.36718,1.63372,1.24578,1.80626,0.0002971,0.0002971,0.0002971
73,566.258,1.08348,0.91004,1.30291,0.66302,0.68779,0.72173,0.37122,1.65737,1.25626,1.83628,0.0002872,0.0002872,0.0002872
74,574.117,1.08012,0.89827,1.2903,0.66087,0.67773,0.72006,0.37957,1.59101,1.24924,1.80121,0.0002773,0.0002773,0.0002773
75,582.017,1.08704,0.89839,1.30502,0.65485,0.69536,0.73478,0.38458,1.57051,1.22332,1.76449,0.0002674,0.0002674,0.0002674
76,589.946,1.07706,0.87641,1.29417,0.69628,0.64301,0.71443,0.37907,1.57664,1.21584,1.76639,0.0002575,0.0002575,0.0002575
77,597.763,1.06175,0.8586,1.27849,0.68822,0.68143,0.72952,0.38257,1.62284,1.23623,1.83001,0.0002476,0.0002476,0.0002476
78,605.619,1.07769,0.88158,1.29718,0.65697,0.70418,0.72972,0.38012,1.60977,1.2434,1.80501,0.0002377,0.0002377,0.0002377
79,613.469,1.06585,0.87275,1.28653,0.6159,0.69659,0.71439,0.37321,1.60941,1.24875,1.81873,0.0002278,0.0002278,0.0002278
80,621.375,1.0599,0.8607,1.2809,0.69787,0.67174,0.72361,0.37199,1.63952,1.22853,1.82249,0.0002179,0.0002179,0.0002179
81,629.228,1.05832,0.85445,1.28046,0.68999,0.64922,0.7114,0.37889,1.5781,1.22712,1.78924,0.000208,0.000208,0.000208
82,637.086,1.04456,0.85226,1.28868,0.68683,0.67941,0.73735,0.39121,1.59427,1.20601,1.81317,0.0001981,0.0001981,0.0001981
83,644.944,1.04523,0.84272,1.27975,0.66718,0.71579,0.75357,0.39458,1.59947,1.199,1.80027,0.0001882,0.0001882,0.0001882
84,652.872,1.03818,0.83152,1.27258,0.67853,0.68059,0.72902,0.38789,1.61689,1.22935,1.82236,0.0001783,0.0001783,0.0001783
85,660.515,1.02923,0.83199,1.26151,0.76205,0.64894,0.74771,0.39161,1.64173,1.24237,1.83774,0.0001684,0.0001684,0.0001684
86,668.033,1.02463,0.83112,1.26974,0.6304,0.70536,0.7206,0.38237,1.59697,1.24495,1.82229,0.0001585,0.0001585,0.0001585
87,675.545,1.02141,0.82178,1.26359,0.72016,0.66598,0.74325,0.3916,1.60513,1.2206,1.80699,0.0001486,0.0001486,0.0001486
88,683.093,1.02762,0.82305,1.26519,0.67843,0.67256,0.73269,0.38892,1.61219,1.23715,1.83245,0.0001387,0.0001387,0.0001387
89,690.654,1.01825,0.79566,1.26138,0.6742,0.70273,0.73715,0.39259,1.59927,1.21468,1.81241,0.0001288,0.0001288,0.0001288
90,698.194,1.0055,0.79829,1.25508,0.68785,0.68265,0.73304,0.39205,1.62093,1.22061,1.82499,0.0001189,0.0001189,0.0001189
91,715.598,0.99806,0.79057,1.27855,0.69298,0.66297,0.72538,0.38809,1.62399,1.21351,1.8532,0.000109,0.000109,0.000109
92,723.132,0.97669,0.70659,1.26864,0.64499,0.71043,0.72599,0.38597,1.61603,1.1972,1.84363,9.91e-05,9.91e-05,9.91e-05
93,730.691,0.93389,0.67215,1.23265,0.66234,0.69115,0.72163,0.38354,1.62446,1.19636,1.84245,8.92e-05,8.92e-05,8.92e-05
94,738.346,0.9326,0.66264,1.23263,0.67631,0.68138,0.72414,0.38186,1.62537,1.21688,1.85647,7.93e-05,7.93e-05,7.93e-05
95,745.996,0.93085,0.65614,1.23921,0.68506,0.68931,0.72623,0.38383,1.63272,1.22247,1.85399,6.94e-05,6.94e-05,6.94e-05
96,753.633,0.91461,0.65744,1.22814,0.71117,0.66827,0.73009,0.38336,1.6348,1.21571,1.87297,5.95e-05,5.95e-05,5.95e-05
97,761.279,0.89991,0.63343,1.21515,0.65466,0.68639,0.7265,0.38226,1.64065,1.22688,1.87366,4.96e-05,4.96e-05,4.96e-05
98,768.934,0.89374,0.63316,1.20883,0.6959,0.68495,0.73682,0.38539,1.63752,1.23588,1.87306,3.97e-05,3.97e-05,3.97e-05
99,776.587,0.88527,0.63208,1.20854,0.66987,0.6904,0.73108,0.3858,1.64325,1.23034,1.88742,2.98e-05,2.98e-05,2.98e-05
100,784.247,0.89658,0.61716,1.21158,0.67705,0.68561,0.72745,0.3868,1.63434,1.22475,1.88304,1.99e-05,1.99e-05,1.99e-05
